,TYPE,PROGRAM,ORG PHONE,DISTADD,DIS,DBIOSRTOZI,DAYS,HOURS
26,FP,BERACA SEVENTH DAY ADVENTIST CHURCH,7187401916,91-19 191 STREET,Queens,11423,WED,10-11:30AM
27,FP,BETH HARK CHRISTIAN COUNSELING CENTER,2128601523,1832 MADISON AVE @120 ST,New York,10035,TUE/THUR,1-3:30PM/3:30-6PM
28,SK,BETH HARK CHRISTIAN COUNSELING CENTER,2128601523,1832 MADISON AVENUE,New York,10035,"WED,THUR",12-2PM
29,FP,BETHANIE FRENCH SEVENTH-DAY ADVENTIST CHURCH,7186002334,2059 BEDFORD AVENUE,Brooklyn,11226,FRI,2-4PM
30,SK,BETHANew York BAPTIST CHURCH OF JAMAICA,7186596099,157-11 111TH AVE,Queens,11433,WED,12-3PM
31,FP,BETHANew York BAPTIST CHURCH OF JAMAICA,7186596099,157-11 111TH AVE,Queens,11433,TUE,11AM-1PM
32,FP,BETHANew York PANTRY,9175331679,48-08 91ST PLACE (ELMHURST),Queens,11373,SAT (3RD),9-10AM
33,SK,BETHANew York UNITED METHODIST CHURCH,7187745689,1208 ST. JOHN'S PLACE,Brooklyn,11213,TUE,12:30-2:30PM
34,FP,BETHEL AME CHURCH,2128620100,54-60 WEST 132ND STREET,New York,10037,THUR,9:30-11:30AM
35,FP,BETHEL AME CHURCH/BETHEL ARVERNE COMM.,7184747712,215 BEACH 77TH STREET,Queens,11692,THUR,11AM-1PM
36,SK,BETHEL GOSPEL TABERNACLE CHURCH,7182914452,110-25 GUY R. BREWER BLVD.,Queens,11433,"TUE,FRI/WED",12-2PM/9-10AM
37,FP,BETHEL GOSPEL TABERNACLE CHURCH,7182914452,110-25 GUY R. BREWER BLVD.,Queens,11433,WED,11AM-12PM
38,TYPE,PROGRAM,,DISTADD,DIS,DBIOSRTOZI,DAYS,HOURS
39,FP,BETH-EL HOUSE OF YAHWEH,7184010743,3482 PARK AVENUE,The Bronx,10456,SAT,8-9:30AM
40,SK,BETHEL SEVENTH-DAY ADVENTIST CHURCH,7187833630,457 GRAND AVENUE,Brooklyn,11238,SUN,1-2PM
41,FP,BETHEL SEVENTH-DAY ADVENTIST CHURCH,7187833630,457 GRAND AVENUE,Brooklyn,11238,WED,3-5PM
42,SK,BETHESDA MISStaten IslandONARY BAPTIST CHURCH,7182975908,179-09 JAMAICA AVENUE,Queens,11432,THUR,12-2PM
43,FP,BEULAH CHURCH OF GOD IN CHRIST JESUS,7186868500,956 MARCY AVENUE,Brooklyn,11216,"TUE,THUR",10:30AM-2PM
44,FP,BLACK FORUM OF CO-OP CITY,7183208035,920 BAYCHESTER AVE (REAR LOBBY LEVEL),The Bronx,10475,"TUE, THUR,FRI",11AM-12:45PM
45,FP,BLANCHE MEMORIAL CHURCH,7186582458,109-74 SUTPHIN BLVD,Queens,11435,TUE,9-9:30AM
46,FP,BLESSED ASSURANCE CHURCH OF GOD BLESSED ASSURA,3479651725,2093 FULTON STREET,Brooklyn,11233,SAT,9-11AM
47,FP,BLESSED SACRAMENT CHURCH (BrooklynLYN),7188271200,198 EUCLID AVENUE,Brooklyn,11208,WED,9:30-11:30AM
48,FP,BMCC PANTHER PANTRY,2122208195,199 CHAMBERS STREET - S230,New York,10007,"M,TU,W,F/THUR",9AM-5PM/9AM-6PM
49,FPK,BNAI RAPHAEL CHESED ORGANIZATION INC,7189512302,3846 FLATLANDS AVENUE,Brooklyn,11234,"M/TUE,W/THU",10A-1P/10A-4P/10A-6PM
50,FPHA,BOOM! HEALTH,7182955960,3144 3RD AVENUE,The Bronx,10451,MON-FRI,9AM-1PM
51,FP,BRIGHT TEMPLE A.M.E. CHURCH/PROJECT F.I.L.L.,7185427777,812 FAILE STREET,The Bronx,10474,"FRI (1,3)",10AM-12PM
52,SK,BROADWAY COMMUNITY,2128646100,601 WEST 114TH STREET,New York,10025,"M,W,F",10:15AM-2PM
53,FP,BROADWAY COMMUNITY,2128646100,601 WEST 114TH STREET,New York,10025,M/SAT(4),3-5PM/1-3PM
54,FP,BRONX BETHANew York COMMUNITY CORPORATION,7182315276,971 EAST 227TH STREET,The Bronx,10466,"WED(1,2,3,4)/TH(1,2,3,4",9-11AM/3-6PM
55,FP,BRONX SEVENTH DAY ADVENTIST CHURCH,7186187344,1695 WASHINGTON AVENUE,The Bronx,10457,"THUR(1,2,3,4)",2-5PM
56,FP,BRONX TEMPLE SDA CHURCH,7188424504,495 WILLIS AVENUE,The Bronx,10455,"TUE,THUR",12-1PM
57,FP,BRONX WORKS,7185083040,1130 GRAND CONCOURSE,The Bronx,10456,"SAT (1ST,3RD)",9AM-1PM
58,FP,BROOKLYN RESCUE MISStaten IslandON URBAN HARVEST CENTER IN,9174263001,919 GATES AVENUE,Brooklyn,11221,"TUE,WED,THUR",10AM-12PM
59,FP,BROOKLYN WEST FAMILY CENTER,7187226001,191 JORALEMON STREET,Brooklyn,11201,THUR,9:30AM-12PM&1:30-3PM
60,FP,BROWN MEMORIAL BAPTIST CHURCH FOOD PANTRY,7186386121,484 WASHINGTON AVENUE,Brooklyn,11238,TUE,9-11AM
61,FP,BROWNSVILLE TEMPLE SDA CHURCH,7183453689,1089 CLARKSON AVE,Brooklyn,11212,"SUN (1,3)",11AM-1PM
62,FP,BVM/ST. MARY'S CHURCH WINFIELD,7186724848,70-31 48TH AVE (WOODStaten IslandDE),Queens,11377,THUR,9:30AM-12PM
63,FP,CABRINI IMMIGRANT SERVICES OF NEW YORK CITY INC,2127914590,139 HENRY STREET,New York,10002,TUE,9:30AM-12:30PM
64,FP,CALVARY ASSEMBLY OF GOD,7183564555,4055 RICHMOND AVENUE,Staten Island,10312,SUN,1-3PM
65,FP,CALVARY BAPTIST CHURCH,7182972301,111-10 GUY BREWER BLVD,Queens,11433,WED/THUR,10AM-12PM/11:30AM-1:30PM
66,FP,CALVARY PENTECOSTAL CHURCH,7184698252,151 WOODRUFF AVENUE,Brooklyn,11226,THUR,11AM-1PM
67,FP,CALVARY'S MISStaten IslandON,7188490311,102-16 89TH AVENUE (RICHMOND HILL),Queens,11418,SAT,9-10AM
68,SK,CATHEDRAL OF ST. JOHN THE DIVINE,2123167583,1047 AMSTERDAM AVENUE @ W. 112TH ST.,New York,10025,SUN,10AM-2:30PM
69,FP,CATHOLIC CHARITIES,7187226001,2866 WEST 17TH STREET,Brooklyn,11224,MON,9:30AM-1:30PM
70,FP,CENTER FOR FAMILY LIFE,7184923585,443 39TH STREET,Brooklyn,11232,"M/W,THUR",10AM-1PM/11AM-1PM
71,FP,CENTER OF HOPE INTERNATIONAL,7187844673,38-49 12TH STREET (L.I.C.),Queens,11101,"TUE, THUR/WED",12-3PM/11AM-2PM
72,FP,CHANCE FOR CHILDREN,3476163228,11 McKEEVER PLACE - 1ST FLOOR (BASEMENT LEVEL),Brooklyn,11225,FRI,10AM-12:30PM
73,FP,CHILD DEVELOPMENT SUPPORT CORPORATION,7183982050,352-358 CLASSON AVE,Brooklyn,11238,THUR,12-2PM
74,FP,CHILDREN OF THE LIGHT INTERNATIONAL MINISTRIES INC,3477944130,1171 EAST 95TH STREET,Brooklyn,11236,W/F/SAT,4-6P/12-2P/2-4P
75,FP,CHRIST ABUNDANT LIFE MINISTRIES,7182730372,121 GRANDVIEW AVENUE,Staten Island,10303,THUR,6-7PM
76,FP,CHRIST APOSTOLIC CHURCH GOKE FOOD PANTRY,7182847479,622 CORTELYOU ROAD,Brooklyn,11218,"TUE(1,3)/SAT(2,4)",6:30-7:30PM/11AM - 2PM
78,FP,"CHRIST APOSTOLIC CHURCH OF AMERICA, INC",7186588981,108-02 SUTPHIN BLVD,Queens,11435,SAT,10AM-12PM
79,FP,CHRIST CHURCH INTERNATIONAL JOSEPH'S HOUSE,7182762799,122-20 MERRILL STREET,Queens,11434,"SAT (2,4)",10AM-12PM
80,SK,CHRIST CHURCH UNITED METHODIST,2128383036,524 PARK AVENUE @ 60TH ST.,New York,10065,SUN,4:30-6PM
81,FP,CHRIST DISCIPLES INTERNATIONAL MINISTRIES,7189945422,3021-31 WEBSTER AVENUE,The Bronx,10467,"WED,SAT/FRI",10:30AM-1PM/9-10PM
82,FP,CHRIST JESUS BAPTIST CHURCH,,1812 WHITE PLAINS ROAD,The Bronx,10462,WED,12-1:30PM
83,FP,CHRISTIAN CULTURAL CENTER,7183061000,1400 LINDEN BLVD,Brooklyn,11212,THUR,10AM-1PM
84,FP,CHRISTIAN FELLOWSHIP SDA COMMUNITY SVCS-F.P.,7184692050,777 SCHENECTADY AVENUE,Brooklyn,11203,"WED(1,2,3,4)",10:30AM-12:30PM
85,SK,CHRISTIAN FELLOWSHIP SDA COMMUNITY SVCS-S.K.,7184692050,777 SCHENECTADY AVENUE,Brooklyn,11203,"MON,TUE,WED",5-6PM
86,FP,CHRISTIAN PENTACOSTAL CHURCH,7182735850,900 RICHMOND ROAD,Staten Island,10304,TUE/WED,6-8PM/6-7:30PM
87,FP,CHURCH OF GOD (Brooklyn),7183464897,627-29 REMSEN AVE,Brooklyn,11236,SAT,1-2:30PM
88,FP,CHURCH OF GOD FEEDING THE HUNGRY,7182305955,836 CLASSON AVE,Brooklyn,11238,THUR,11:30AM-1:30PM
89,FP,CHURCH OF GOD OF SALVATION,7189418195,1615 NOSTRAND AVE,Brooklyn,11226,"TUE,THUR",9-11AM
90,FP,CHURCH OF GOD SEVENTH DAY PENTECOSTAL,7182219718,922 ST. MARKS AVE,Brooklyn,11213,TUE,4-6:30PM
91,FP,"CHURCH OF GOD, INC.",7184933031,1011 WINTHROP STREET,Brooklyn,11212,SAT,2-3PM
92,FP,CHURCH OF NOTRE DAME,2128661500,405 WEST 114TH STREET,New York,10025,TUE,2-4PM
93,FP,CHURCH OF PRAISE AND WORSHIP GOD IN CHRIST,3474625679,526 RALPH AVENUE,Brooklyn,11233,SAT,12:30-2:30PM
94,FP,CHURCH OF THE ANNUNCIATION,2122341919,88 CONVENT AVE. NEAR 132ND ST.,New York,10027,TUE,10:30-11:30AM
95,FP,CHURCH OF THE ATONEMENT FOOD PANTRY,7188286078,1344 BEACH AVENUE,The Bronx,10472,"SAT (2,4)",10AM-12PM
96,FP,CHURCH OF THE CRUCIFIXION,2122810900,459 WEST 149TH STREET,New York,10031,WED,10AM-1PM
97,FP,CHURCH OF THE VILLAGE UNITED METHODIST CHURCH,2122435470,201 WEST 13TH STREET,New York,10011,TUE,1-2:30PM
98,SK,CHURCH OF THE VILLAGE UNITED METHODIST CHURCH,2122435470,201 WEST 13TH STREET,New York,10011,SAT,12-2PM
99,FPM,CITY HARVEST - ASTORIA MOBILE MARKET,6464120740,7-1 ASTORIA BLVD,Queens,11102,"THUR(3),SAT(1)",9:30AM-12PM
100,FPM,CITY HARVEST - BED-STUY MOBILE MARKET,6464120740,736 PARK AVENUE,Brooklyn,11206,"WED(3),SAT(1)",9:30AM-12PM
101,FPM,CITY HARVEST - MARINER'S HARBOR MOBILE MARKET,6464120740,22 ROXBURY STREET,Staten Island,10303,"WED(1),SAT(3)",9:30AM-12PM
102,FPM,CITY HARVEST - MELROSE MOBILE MARKET,6464120740,286 EAST 156TH STREET,The Bronx,10451,"WED(4),SAT(2)",9:30AM-12PM
103,FPM,CITY HARVEST - ST. MARY'S MOBILE MARKET,6464120740,595 TRINITY AVENUE,The Bronx,10455,"TUE(4),SAT(2)",9:30AM-12PM
104,FPM,CITY HARVEST - STAPLETON MOBILE MARKET,6464120740,75 HILL STREET,Staten Island,10304,"TUE(1),SAT(3)",9:30AM-12PM
105,FPM,CITY HARVEST MOBILE MARKET - DYCKMAN HOUSES,6464120740,177 NAGLE AVENUE,New York,10034,"WED(2),SAT(4)",9:30-11:30AM
106,FPM,CITY HARVEST MOBILE MARKET - PRINCE HALL,6464120740,454 WEST 155TH STREET,New York,10032,"THU(2),SAT(4)",9:30-11:30AM
107,FPM,CITY HARVEST MOBILE MARKET - QUEENSBRIDGE HOUSES,6464120740,10-25 41ST AVENUE,Queens,11101,"TUE(2),SAT(4)",9:30-11:30AM
108,SKM,COALITION FOR THE HOMELESS,2123699220,108 EAST 51ST STREET,New York,10022,MON-FRI,6:30-10PM
109,FP,COME WORLD MINISTRIES INC,6463770132,1034 PROSPECT AVE,The Bronx,10459,WED,9-11AM
110,SK,COME WORLD MINISTRIES INC,6463770132,1034 PROSPECT AVE,The Bronx,10459,SAT,12-2PM
111,FP,COMMUNITY ALLIANCE INITIATIVE,7183054888,60-85 MYRTLE AVENUE,Queens,11385,WED,10AM -12PM
112,FP,COMMUNITY HEALTH ACTION OF STATEN ISLAND,7188081840,2134 RICHMOND TERRACE,Staten Island,10302,WED/FRI/SAT,12-4P/2-6P/10A-2P
113,FP,COMMUNITY IMPACT,2123167085,616 WEST 114TH STREET,New York,10025,"MON,THUR",12-2PM
114,FP,COMMUNITY LEAGUE OF THE HEIGHTS,2127954779,508 WEST 159TH STREET,New York,10032,"WED,SAT",9AM-11AM
115,FP,COMMUNITY SERVICES HOUStaten IslandNG DEVELOPMENT CORP.,6467945961,547 HOWARD AVE,Brooklyn,11233,THUR,10AM-12PM
117,SK,COMPASStaten IslandON HOUSE COMMUNITY DEVELOPMENT CORPO,7183868151,43 GEORGE STREET,Brooklyn,11206,"TUE (1,3)",8-9:30AM
118,FP,COMPASStaten IslandON HOUSE COMMUNITY DEVELOPMENT CORPO,7183868151,43 GEORGE STREET,Brooklyn,11206,"TUE,THUR(1,3)",9-11:30AM
119,SKK,CONGREGATION B'NAI JESHURUN,2127877600,257 WEST 88TH STREET,New York,10024,THUR,12-1PM
120,FP,CONVENT AVENUE BAPTIST CHURCH,6466985102,425 WEST 144TH STREET @ CONVENT AVE,New York,10031,"MON,THUR",9AM-12PM
121,FP,COOP CITY SDA CHURCH FOOD PANTRY,7183200518,1010 BAYCHESTER AVENUE,The Bronx,10475,WED,5:30-7PM
122,FP,COPO FOOD PANTRY,7184343266,1077 CONEY ISLAND AVENUE,Brooklyn,11230,FRI,1:30-4:50PM
123,FP,CORNERSTONE BAPTIST FOOD PANTRY,7185749000,562-574 MADISON STREET,Brooklyn,11221,TUE,11AM-2PM
124,FP,CORNERSTONE SEVENTH DAY ADVENTIST CHURCH,7184839753,138 PENNSYLVANIA AVE,Brooklyn,11207,THUR,10AM-12PM
125,SK,CORNERSTONE SEVENTH DAY ADVENTIST CHURCH,7184839753,138 PENNSYLVANIA AVE,Brooklyn,11207,SUN,11:30AM-1:30PM
126,FP,CORONA S.D.A. CHURCH,7184297050,35-30 103RD STREET,Queens,11368,MON,9-11AM
127,SK,CORONA S.D.A. CHURCH,7186514534,35-30 103RD STREET,Queens,11368,SUN,12-2PM
128,FP,CORPUS CHRISTI FOOD PANTRY,7182788114,31-30 61ST STREET,Queens,11377,WED,11AM-1PM
129,SK,"CRESTON AVENUE BAPTIST CHURCH OF CHRIST, INC",7183671754,114 EAST 188TH STREET,The Bronx,10468,SAT,12-2PM
130,FP,"CRESTON AVENUE BAPTIST CHURCH, INC",7183671754,114 EAST 188TH STREET,The Bronx,10468,"MON,WED,FRI",12-2PM
131,FP,CROSSOVER BAPTIST CHURCH COMMUNITY OUTREACH H,7183221200,85-12 101ST AVENUE,Queens,11416,"FRI/SUN(2ND,4TH)",9AM-12P/1-3PM
132,FP,CROSSROADS COMMUNITY SERVICES INC,2123780234,108 EAST 51ST STREET,New York,10022,THUR,11:30AM-2:30PM
133,SK,CROSSROADS COMMUNITY SERVICES INC,2123780234,108 EAST 51ST STREET,New York,10022,"M,W,SUN",7-8:30AM
134,FPK,CROWN HEIGHTS JEWISH COMMUNITY COUNCIL,7187719000,899 MONTGOMERY STREET,Brooklyn,11213,WED,1:30-3PM
135,FP,CUYLER WARREN U.M.C.,7186243300,424 DEAN STREET,Brooklyn,11217,TUE,1-2:45PM
136,FP,DAVIDSON COMMUNITY CENTER INC,7187316360,2038 DAVIDSON AVENUE,The Bronx,10453,WED,10-11AM
137,FP,DELIVERANCE TEMPLE CHURCH OF JESUS CHRIST,7185291993,134-10 ROCKAWAY BLVD SO. OZONE PARK,Queens,11420,TUE,5:30-6:30PM
138,FP,DEPARTMENT OF PROBATION BRONX OFFICE,7188024500,198 EAST 161ST STREET,The Bronx,10451,FRI,9AM - 12PM
139,FP,DEPARTMENT OF PROBATION BROOKLYN OFFICE,7184883640,345 ADAMS STREET - 6TH FLOOR,Brooklyn,11201,FRI,9AM - 12PM
140,FP,DEPARTMENT OF PROBATION MANHATTAN OFFICE,2128511403,127 WEST 127TH STREET,New York,10027,MON,9AM-12PM
141,FP,DEPARTMENT OF PROBATION QUEENS OFFICE,7186572544,162-24 JAMAICA AVENUE - 2ND FLOOR,Queens,11432,FRI,9AM - 12PM
142,FP,DEPARTMENT OF PROBATION STATEN ISLAND OFFICE,7188767395,340 BAY STREET,Staten Island,10301,MON,9AM-12PM
143,FP,DEWITT REFORMED CHURCH,2126743341,280 RIVINGTON STREET,New York,10002,"MON,THUR",10AM-12PM
144,FP,DIVINE FOOD PANTRY,5164151192,215-31 99TH AVENUE (QUEEN VILLAGE),Queens,11429,FRI/SAT,6-8PM/1:30-3PM
145,FP,E JOY COMMUNITY RESOURCE CENTER,7184825129,29-10 THOMSON AVENUE - SUITE 107EE (LIC),Queens,11101,"M,THUR/TUE,W,F",9AM-7PM/9AM-5PM
146,FP,EAST NEW YORK WESLEYAN CHURCH/NEW HOPE FAMILY,7183421305,817 LIVONIA AVENUE,Brooklyn,11207,SAT,10AM - 12PM
147,SK,EASTCHESTER PRESBYTERIAN CHURCH,7187981855,3154 FISH AVENUE,The Bronx,10469,THUR,5-6PM
148,FP,EBENEZER SEVENTH DAY ADVENTIST CHURCH,7187787900,1234 EAST NEW YORK AVENUE,Brooklyn,11212,WED,10:30AM-12PM
149,SK,EBENEZER SEVENTH DAY ADVENTIST CHURCH,7187787900,1234 EAST NEW YORK AVENUE,Brooklyn,11212,SUN,12:30-2PM
150,FP,EGLISE BAPTISTE DE LA COMMUNION FRATERNELLE,7186938214,2549 CHURCH AVENUE,Brooklyn,11226,SAT,12-4PM
151,FP,ELMCOR YOUTH & ADULT ACTIVITIES #2,7186510096,33-16 108TH STREET,Queens,11368,WED,10AM-2PM
152,FP,ELOHIM COMMUNITY DEVELOPMENT & OUTREACH INC,9174187906,"87-47 111TH STREET, RICHMOND HILLS",Queens,11418,FRI,9-11AM
153,FP,EMANUEL PENTECOSTAL FAITH CHURCH,7188424092,1310 ELDER AVE,The Bronx,10472,WED,5-6PM
154,FP,EMMAUS SDA CHURCH,7182872121,1144 FLATBUSH AVENUE,Brooklyn,11226,TUE,12-3PM
156,FPK,ESTHER GRUNBLATT-CENRAL QUEENS Y,7187048160,67-09 108TH STREET,Queens,11375,"M,TUE,THU/W",9AM-3PM/9AM-2PM
157,FP,EVANGEL FOOD PANTRY,7183615454,39-21 CRESENT STREET (LIC),Queens,11101,"SAT (1,2,3,4)",9-11AM
158,FP,EVANGELICAL CHURCH CHRIST IS THE LIGHT,7185922701,89-16 48TH AVENUE (ELMHURST),Queens,11373,FRI,9-11AM
159,FP,"EVERY DAY IS A MIRACLE, INC",3476181162,2427 MORRIS AVENUE,The Bronx,10468,FRI,9-11AM
160,SK,"FAITH CENTER FOR HUMAN SERVICES, INC",3476143235,1014-18 GATES AVENUE,Brooklyn,11221,SAT,9:30AM-12PM
161,FP,"FAITH CENTER FOR HUMAN SERVICES, INC",3476143235,1014-18 GATES AVENUE,Brooklyn,11221,SAT,9:30AM-12PM
162,FP,FAMILY INTEGRATION MINISTRY FOOD PANTRY,2129399292,1875 AMSTERDAM AVENUE,New York,10031,THUR,8-11AM
163,FP,FAMILY LIFE DEVELOPMENT CENTER,7186364938,1476 BEDFORD AVE,Brooklyn,11216,MON,4-6PM
164,FP,FAMILY SERVICE NETWORK OF N.Y. INC,7184556010,1420 BUSHWICK AVENUE,Brooklyn,11207,"MON,WED",9AM-1PM
165,FP,FATHER CREAVIN'S FOOD PANTRY,2122812100,276 WEST 151ST STREET,New York,10039,"TUE(2,3,4,5)",9-10AM
166,FP,FEEDING WITH TLC INC,7184470526,309 ST. PAULS AVENUE,Staten Island,10304,SAT,11AM-1PM
167,SK,FEEDING WITH TLC INC,7184470526,309 ST. PAULS AVENUE,Staten Island,10304,SAT,12-1PM
168,FP,FELLOWSHIP COVENANT CHURCH,7188292116,720 CASTLE HILL AVENUE,The Bronx,10473,WED,10-11:30AM
169,FP,FERNANDE VALME' MINISTRIES INC,7182841809,1120 FLATBUSH AVE,Brooklyn,11226,THUR,10-11AM
170,SK,FIRST BAPTIST CHURCH,7184460200,"100-10 ASTORIA BLVD., E. ELMHURST",Queens,11369,WED,12-1:45PM
171,SK,FIRST CHURCH OF GOD IN CHRIST,7187124831,187-10 BAISLEY BLVD,Queens,11412,WED,12-1:30PM
172,FP,"FIRST CHURCH OF GOD IN CHRIST, INC.",7187124831,187-10 BAISLEY BLVD,Queens,11412,THUR,1:30-3PM
173,SK,FIRST PRESBYTERIAN CHURCH OF JAMAICA,7185264775,89-60 164TH STREET,Queens,11432,WED,5:30-6:30PM
174,FP,FIRST PRESBYTERIAN CHURCH OF JAMAICA,7185264775,89-60 164TH STREET,Queens,11432,TUE/4TH SAT,10AM-12PM/9-11AM
175,FP,FIRST PRESBYTERIAN CHURCH OF SPRINGFIELD GDNS,7185287744,"216-02 137TH AVENUE, SPRINGFIELD GDNS",Queens,11413,WED,11AM-1:30PM
176,FP,FIRST PRESBYTERIAN RUSSELL SAGE MEMORIAL CHURCH,7183272440,8A9Y6 CENTRAL AVENUE (FAR ROCKAWAY),Queens,11691,SAT,9:30-10:30AM
177,FP,FIRST UNITED METHODIST CHURCH OF JAMAICA,7187392269,162-10 HIGHLAND AVENUE,Queens,11432,MON,8:30-9:30AM
178,FP,FLATBUSH SDA CHURCH,7186939180,261 EAST 21ST STREET,Brooklyn,11226,MON,11AM-1PM
179,SK,FOOD BANK FOR NEW YORK CITY,2126658747,252 WEST 116TH STREET,New York,10026,MON-FRI,3:30-4:30PM
180,FP,FOOD BANK FOR NEW YORK CITY,2126658747,252 WEST 116TH STREET,New York,10026,"TU,TH/W/SAT",11A-3:30P/1-8PM/11A-2PM
181,FP,"FOOD FIRST, INC",7186241950,165 CONOVER STREET,Brooklyn,11231,WED/FRI,11AM-1PM/10AM-12PM
182,FP,FOREST HILLS SENIORS CENTER,7186991010,108-25 62ND DRIVE,Queens,11375,"TH(2,3,4,5)/W (LAST)",8:30-9:30AM/6-8PM
183,SK,FRATERNITE NOTRE DAME,2128765855,2290 FIRST AVENUE,New York,10035,"TUE,W,THUR,FRI",10:30AM-1PM
184,FP,"FRATERNITE NOTRE DAME, INC",2128765855,2290 FIRST AVENUE,New York,10035,FRI,2-4PM
185,FPHA,GAY MEN'S HEALTH CRIStaten IslandS,2123671409,307 WEST 38TH STREET,New York,10018,"WED,FRI/THUR",1-4PM/11AM-2PM
186,SKH,GAY MEN'S HEALTH CRIStaten IslandS (GMHC),2123671257,307 WEST 38TH STREET,New York,10018,MON-THUR/FRI,12-2:45/5-7:30PM
187,FP,"GENEStaten IslandS TRANStaten IslandTIONAL HOUStaten IslandNG MINISTRIES, INC",7182176530,195-12 HOLLIS AVENUE,Queens,11412,FRI,9AM-12PM
188,FP,GETHSEMANE BAPTIST CHURCH,7182947129,771 FAIRMOUNT PLACE,The Bronx,10460,THUR,8-10AM
189,FP,GETHSEMANE SDA CHURCH,7184674181,357 EMPIRE BLVD,Brooklyn,11225,SUN/WED,12-1PM/5-6PM
190,FP,GETHSEMANE SOUL SAVING STATION,7189498662,145-41 228TH STREET,Queens,11413,WED,1-2PM
191,FP,GIVE THEM TO EAT,7189938378,800 EAST 156TH STREET,The Bronx,10455,FRI,1:30-3:30PM
192,SK,GIVE THEM TO EAT,7189938378,800 EAST 156TH STREET,The Bronx,10455,TUE,1-3PM
